datetime,option_type,atm_term_structure
2017-09-06,沽,0.0027867463136537485
2017-09-06,购,0.014482635049486194
2017-09-07,沽,0.00879897115435721
2017-09-07,购,0.02406975965797585
2017-09-08,沽,0.013303985307880156
2017-09-08,购,0.021120113746422704
2017-09-11,沽,0.004796639187097107
2017-09-11,购,0.016201964168748154
2017-09-12,沽,0.009008994483940908
2017-09-12,购,0.016055847255136042
2017-09-13,沽,0.011714213231085166
2017-09-13,购,0.021469483252119607
2017-09-14,沽,0.014084394332144791
2017-09-14,购,0.019167847675979753
2017-09-15,沽,0.012816920492420746
2017-09-15,购,0.025857904420926912
2017-09-18,沽,0.012452848307411946
2017-09-18,购,0.01878163734280515
2017-09-19,沽,0.017163865998966958
2017-09-19,购,0.025741042009942254
2017-09-20,沽,0.012279400956859754
2017-09-20,购,0.02309522549108589
2017-09-21,沽,0.011369298288193247
2017-09-21,购,0.027084561118940344
2017-09-22,沽,0.006365045991253197
2017-09-22,购,0.027954419370976896
2017-09-25,沽,0.0038952449639653997
2017-09-25,购,0.02549720654195075
2017-09-26,沽,0.016703282276477147
2017-09-26,购,0.035179831646389
2017-09-27,沽,0.038073355448726344
2017-09-27,购,0.010412306029209
2017-09-28,沽,0.011407264297975603
2017-09-28,购,0.010747218517639844
2017-09-29,沽,0.008037348100076044
2017-09-29,购,0.008251195425743686
2017-10-09,沽,0.009627187504943104
2017-10-09,购,0.0214734906355684
2017-10-10,沽,0.008597209979984852
2017-10-10,购,0.026282805377011755
2017-10-11,沽,-0.001244889974528894
2017-10-11,购,0.0214367196634955
2017-10-12,沽,-0.0022089947035812407
2017-10-12,购,0.020216768154645695
2017-10-13,沽,0.0027793520081746056
2017-10-13,购,0.022378385005889394
2017-10-16,沽,0.0025729458162981403
2017-10-16,购,0.018951239452930153
2017-10-17,沽,0.0025161606775467443
2017-10-17,购,0.021520256824444056
2017-10-18,沽,0.009819892628640907
2017-10-18,购,0.02280218635781501
2017-10-19,沽,0.007139750680654505
2017-10-19,购,0.033009444461393506
2017-10-20,沽,0.0014182007720626028
2017-10-20,购,0.016293449405659646
2017-10-23,沽,-0.007109777402391035
2017-10-23,购,0.0188978382855707
2017-10-24,沽,0.005473478463156954
2017-10-24,购,0.03850257953784239
2017-10-25,沽,0.047956887562567545
2017-10-25,购,0.01985736242310445
2017-10-26,沽,0.007161314777549946
2017-10-26,购,0.00017248452122069465
2017-10-27,沽,0.0033423338726991255
2017-10-27,购,0.001552381520412996
2017-10-30,沽,0.0021899685401672838
2017-10-30,购,0.0049951109520567655
2017-10-31,沽,0.009809165010331921
2017-10-31,购,0.008148110594336134
2017-11-01,沽,0.009013461476461178
2017-11-01,购,0.0057773748054153005
2017-11-02,沽,0.010546960789701448
2017-11-02,购,0.007941713894074947
2017-11-03,沽,0.010020606302293093
2017-11-03,购,0.01139009108972704
2017-11-06,沽,0.010290304344447814
2017-11-06,购,0.004378170601899798
2017-11-07,沽,0.006690187045003359
2017-11-07,购,-0.0028188127503204
2017-11-08,沽,0.005446178357496559
2017-11-08,购,-0.0009451473202089746
2017-11-09,沽,0.005267792919044821
2017-11-09,购,0.004261497156893238
2017-11-10,沽,0.000740882591832503
2017-11-10,购,0.003791873081606972
2017-11-13,沽,0.0029745869645747547
2017-11-13,购,0.0032484919094613613
2017-11-14,沽,0.004003273647225469
2017-11-14,购,0.005755120321356864
2017-11-15,沽,0.009585146999618299
2017-11-15,购,0.016792826156456185
2017-11-16,沽,0.008756324213902723
2017-11-16,购,0.008586990711299909
2017-11-17,沽,-0.01507469109878942
2017-11-17,购,0.010310052690165846
2017-11-20,沽,0.0009299012710316776
2017-11-20,购,0.013047944055685877
2017-11-21,沽,0.00881788396249602
2017-11-21,购,0.020445533112289128
2017-11-22,沽,-0.0004756322748796378
2017-11-22,购,0.03313689718537152
2017-11-23,沽,-0.026748480403600217
2017-11-23,购,0.009890975113737821
2017-11-24,沽,-0.027424667143865787
2017-11-24,购,0.008483752904742532
2017-11-27,沽,-0.009509471745235037
2017-11-27,购,0.027106408476126026
2017-11-28,沽,0.007932398899612636
2017-11-28,购,0.01026330706506659
2017-11-29,沽,0.006920608640698817
2017-11-29,购,0.006283433690881529
2017-11-30,沽,0.006394577236429491
2017-11-30,购,0.005324216296413981
2017-12-01,沽,0.0028823456737563924
2017-12-01,购,0.00520318152186944
2017-12-04,沽,0.00526028255113605
2017-12-04,购,0.004673055235956278
2017-12-05,沽,0.008861251437586043
2017-12-05,购,0.00880092273493938
2017-12-06,沽,0.008795144736330635
2017-12-06,购,0.005930195548437012
2017-12-07,沽,0.008761655703051641
2017-12-07,购,0.008425236796050756
2017-12-08,沽,0.009489589384103634
2017-12-08,购,0.008825640728686504
2017-12-11,沽,0.01185139669623439
2017-12-11,购,0.012575923366439229
2017-12-12,沽,0.014294152999272192
2017-12-12,购,0.012058671478797117
2017-12-13,沽,0.010098375354953198
2017-12-13,购,0.013562788645271348
2017-12-14,沽,0.01345226235071773
2017-12-14,购,0.013588393130710206
2017-12-15,沽,0.013598353939919785
2017-12-15,购,0.01112583823643569
2017-12-18,沽,0.013113490190206984
2017-12-18,购,0.010966168159977103
2017-12-19,沽,0.010603300551696735
2017-12-19,购,0.01091804029514377
2017-12-20,沽,0.010105030696837432
2017-12-20,购,0.015119792817078185
2017-12-21,沽,0.014991432783017757
2017-12-21,购,0.018611175484084332
2017-12-22,沽,0.017837672257855618
2017-12-22,购,0.019047915911966688
2017-12-25,沽,0.01623466573430319
2017-12-25,购,0.02485744150051384
2017-12-26,沽,0.010880647583897821
2017-12-26,购,0.03159630861741652
2017-12-27,沽,-0.08566871643929146
2017-12-27,购,0.04868417133442627
2017-12-28,沽,0.007634977051353353
2017-12-28,购,0.010619180877297567
2017-12-29,沽,0.013116160988927289
2017-12-29,购,0.015111163400745295
2018-01-02,沽,0.011178637716100448
2018-01-02,购,0.01470963070383921
2018-01-03,沽,0.008796702208137747
2018-01-03,购,0.0191218682498233
